Label,PC1,PC2,PC3,PC4,PC5,PC6,SurveyID,biom,cover
912344254,0.675559888,-1.121217174,-0.900905569,-0.102193932,0.297727962,0.298675001,912344254,14419.82968,37
912344255,0.631057365,-1.617262622,-0.285545875,0.685740364,0.280976524,0.167869861,912344255,13104.13999,33.98058252
912344257,0.031915815,-2.726351167,-0.068571055,0.243871947,0.853198461,-0.919364526,912344257,23822.48532,26.73267327
912344258,0.179485228,-0.026706858,-1.397742619,-0.046900431,0.205189843,-0.193787972,912344258,25916.57598,28.28282828
912344261,0.217221073,-1.866668107,-0.205571007,0.961826141,0.179925188,-1.068574551,912344261,17344.17955,39.04761905
912344264,-1.01481128,0.778568784,-1.794873979,-0.079836086,1.062608339,-0.217660972,912344264,65684.95232,7
912344265,-0.169868885,-0.824664688,-0.858540687,0.205682478,0.732713203,-1.426484803,912344265,30042.84918,6
912344266,-2.971135073,-0.700306152,-1.13576719,-0.022288647,-0.570094833,-1.374845272,912344266,88079.12505,51.48514852
912344267,-4.375170537,2.079185391,-2.190571139,-0.050919222,-0.600941202,-0.845788759,912344267,212790.2058,46.39175258
912344268,-0.135430529,1.19531067,-1.475441662,0.211091099,0.172425555,-0.562016688,912344268,28702.55004,60
912344269,1.398839714,0.264172233,-1.338608303,-0.145473957,-0.578760189,-0.363477754,912344269,11294.27479,0
912344270,-0.403644403,1.25979344,-1.597702044,-0.542357649,0.266419173,-0.267039067,912344270,38722.46437,17
912344271,0.134658332,-0.199624527,-1.495781386,-0.550985984,0.119552027,-0.369080723,912344271,29071.70049,14
912344274,-1.126391734,-0.034719891,-1.134719281,-0.226981612,0.098567203,-0.246994665,912344274,49768.76768,4
912344275,-0.665354177,-0.143613599,-1.684491109,-0.058295858,0.318033179,-0.452413915,912344275,46605.37451,1
912344278,1.281204466,0.026369134,-1.466571744,-0.871325359,-0.697013326,-0.164016691,912344278,15354.03014,15
912344279,0.313751033,-1.388529402,-0.777656392,-1.168600418,-1.260396549,-0.741611778,912344279,21101.47458,8
912344280,3.022212798,-1.377886997,-0.344976303,-0.640231821,-1.755326093,-0.086104082,912344280,4490.664215,10
912344281,2.453896415,-0.551097068,-0.914249227,-0.751479079,-0.874361928,-0.831397839,912344281,6386.257491,4
912344288,-0.586114261,-0.474222567,-1.380340564,-0.999624505,-0.44761798,0.242168641,912344288,37143.12464,7
912344291,-0.1865627,-0.372515606,-1.252758123,0.30999467,-1.071410687,0.376736005,912344291,21334.70277,12
912344292,-0.80008619,0.794430033,-1.461548224,-0.25437735,-0.647157252,0.235514849,912344292,39286.8933,11
912344293,-1.056329749,0.289466745,-1.21078539,0.075720656,0.403595304,-0.203818407,912344293,49286.89194,6
912344294,-0.857752669,-2.615592494,0.989550054,-0.298537345,-0.129110327,-0.078369971,912344294,27799.02427,11
912344296,-2.200353709,-1.352093133,-0.745056696,-0.566310272,-0.033308842,0.26399338,912344296,75391.45565,12
912344297,-2.63529885,-1.86709347,-0.642110545,0.686757562,-0.076665329,-0.207279655,912344297,68857.61459,9
912344299,-2.13864019,-1.63392947,-0.681829634,0.55687032,0.224699776,0.630718665,912344299,62440.12346,8
912344301,-0.422031993,-1.359165964,-0.455381849,-0.553138165,0.368316566,0.50327966,912344301,30465.9681,6
912344304,-2.569995145,-2.873007259,-0.323642368,0.513502639,0.305111046,-0.485486739,912344304,65919.04813,4
912344305,-1.528443286,-3.18020671,-0.253710005,0.116042338,0.358359657,-0.344417171,912344305,42530.48539,9
912344306,-2.473522632,-1.813923991,0.23104664,0.268224139,0.090052331,-0.976726341,912344306,63332.37629,10
912344307,-1.404483222,-0.29647573,-1.019738423,0.17917334,-0.361134007,-0.5192452,912344307,46361.60302,8
912344308,0.169023339,-0.959927203,-0.755724338,0.067562109,0.071338293,-1.650270591,912344308,23052.8794,0
912344309,-2.425641455,0.077314979,-1.266462247,0.467891102,-0.147900879,-0.081615507,912344309,79002.51536,1
912344310,0.23794203,-1.133946977,-1.058537381,-0.170386452,0.742229276,-0.310228342,912344310,27490.29312,6
912344311,-0.863575387,-1.770788045,-0.742307805,-0.274774901,0.751199952,0.069859746,912344311,43753.68862,3
912344314,0.420214639,0.630617771,-1.351437877,-0.775207113,-1.56626209,-0.774114966,912344314,22049.72963,16
912344316,-4.042937807,-0.788822908,-1.218293071,0.191135049,-0.693434337,-0.703587935,912344316,137670.1652,14
912344318,0.819374956,-1.066374538,-0.635614501,-0.341096246,-0.203085717,-1.437407164,912344318,13940.37051,0
912344319,0.541208379,-2.485926368,-0.012720048,0.196228191,-0.253348879,-0.9335854,912344319,13958.39358,4
912344320,0.026654505,-2.170007119,-0.470548489,-0.429558458,-1.269435702,-0.629931819,912344320,23830.58155,16
912344321,-0.242323522,-0.676379793,-0.89807578,-0.425215544,-0.373762456,-0.009741292,912344321,24724.88478,23
