location,site,year,herb_avg,plank_avg,pisc_avg,prod_avg,exP_avg,exN_avg,turn_avg
Moorea,Afareaitu,2009,114.32401567812438,1.9442084638865,3.6124363483301742,3.4653535437847527,0.46005284925066475,7.1668573236057425,2.570982063023083e-4
Moorea,Afareaitu,2010,51.685545088260156,1.652879620842054,1.7512383416462247,2.1612739184223386,0.30029370212537887,4.374488277304109,2.1358907483459385e-4
Moorea,Afareaitu,2011,50.37848926311006,1.3142379687309167,1.1369254028926663,1.6043414938147456,0.1811981922573111,3.079826552313387,2.0421363744693242e-4
Moorea,Afareaitu,2012,48.84141062998767,1.3082535805373805,3.1682777977007377,2.067502684817723,0.21088181971212389,3.7045512934901264,2.681729445074034e-4
Moorea,Afareaitu,2013,50.50881105758935,1.590132639506178,1.718053377912206,1.8463926658646606,0.16652723299145436,3.045399400491122,2.348277208726099e-4
Moorea,Afareaitu,2014,54.986679641779816,0.47265505014038284,1.3723160909852328,2.4539383626857614,0.13727068711239515,3.1005544647363306,3.4483817772276975e-4
Moorea,Afareaitu,2015,48.49080297736003,0.8977984339599603,1.3606747577479898,1.952213986085292,0.15667362635870738,3.0234559018516807,2.93136657511201e-4
Moorea,Afareaitu,2016,42.673168119308265,1.4159591550261006,1.4108995854813522,2.2736604361895085,0.13464666964446678,3.0137084243826133,3.1638497875897557e-4
Moorea,Aroa,2004,14.585287160755966,0.7477087034081308,0.1795601923504148,0.65771796879958,0.044722075962085286,0.9880273986419098,2.82430636405566e-4
Moorea,Aroa,2005,51.768529416313626,0.5484811720778056,0.7714088523916874,1.7565250210304173,0.18764492274266126,3.169395154730274,2.8754881183360386e-4
Moorea,Aroa,2006,61.73187872133376,1.4588504467338963,1.2615403186130847,1.8165014242889361,0.24374908259884176,3.7507121481557197,1.684303266222657e-4
Moorea,Aroa,2007,106.4313342372111,0.79386649954199,2.055313194120764,3.1176157213012248,0.36244070524022554,5.891984126951206,2.0725640077025534e-4
Moorea,Aroa,2008,108.29301044423136,0.9704568768328686,3.5065097828195904,3.305261143183679,0.3894759639787251,6.1264608274008765,2.293972128665983e-4
Moorea,Aroa,2009,191.3429578938916,1.386731008039779,2.1833217299538044,4.569184315418879,0.6506291526405332,9.859684211677235,2.321562315374034e-4
Moorea,Aroa,2010,57.60008243798608,0.3834076087391706,1.7609075753638068,1.9196869879777423,0.22291156194373435,3.535347834965427,2.5984769668364893e-4
Moorea,Aroa,2011,23.624173542544195,0.37193932245637346,0.5604128346308578,0.8718021667964214,0.08821503789626499,1.4392461069576235,2.2166123043908421e-4
Moorea,Aroa,2012,112.29218071023666,2.2883678297682577,0.6859785136744986,2.895645505252164,0.3421919802180337,5.574840763363499,2.0444518626806614e-4
Moorea,Aroa,2013,64.92871655919059,1.8100763814405332,0.9400756192493727,1.8151976184820253,0.20944251055218535,3.3837225930600416,2.24599970050449e-4
Moorea,Aroa,2014,37.32015407892777,0.529841865577819,0.49778225147317723,1.3417348965651579,0.12669936938871934,2.181529653361839,2.2816248610869577e-4
Moorea,Aroa,2015,54.768402426400435,0.2170727865397733,0.3891855185405355,1.8014744277223012,0.14843392274126632,2.823712711580301,2.1368971604114826e-4
Moorea,Aroa,2016,47.959172265176704,0.8670714787026346,1.0184304794458345,1.809367619171904,0.17171631189114397,2.8612355360016926,2.1313621272430472e-4
Moorea,Entre 2 baies,2004,38.97238606936048,1.1170666976284367,2.250873433756766,1.5147218823402433,0.16902471270896852,3.0238341611689914,2.2498969079312375e-4
Moorea,Entre 2 baies,2005,72.56536521141304,1.5641065000828345,2.798419952969163,2.688522903220159,0.28276643565152343,4.714092455798741,2.697293841751959e-4
Moorea,Entre 2 baies,2006,72.39714592435574,1.1253261731590765,2.4200926088128543,3.029667609293334,0.3296973465500043,5.427104732051355,2.0149624448493087e-4
Moorea,Entre 2 baies,2007,116.57739929203211,1.9093917646445204,2.993613707643829,3.9963755547203736,0.39010121576777534,7.082620895472655,2.2161832435662782e-4
Moorea,Entre 2 baies,2008,83.97444306801505,1.9181003060909758,3.0825698055942357,3.127726581959398,0.30166814802002695,5.363140923791676,2.807962943413629e-4
Moorea,Entre 2 baies,2009,141.96195816184118,2.0072960299646927,3.9656955703702406,4.45035518817642,0.46104815256418125,7.9413718653919725,3.0640371301744713e-4
Moorea,Entre 2 baies,2010,76.31994307219523,0.9620314708012637,1.7618954934947795,2.7730815073576727,0.22792410807016134,4.417339092592629,2.757241235649885e-4
Moorea,Entre 2 baies,2011,40.002245239297345,1.8253021095878863,0.9787456278639229,1.4418780777911568,0.11024500837769746,2.277432802121166,3.7816335157225383e-4
Moorea,Entre 2 baies,2012,87.88272910756756,2.4409538243551556,1.2283903960139069,2.2032424976334974,0.32527884437799337,4.898652726243013,1.7753983791206173e-4
Moorea,Entre 2 baies,2013,71.95360300150227,0.4030249126131743,1.3604333306451502,2.155733930895419,0.2174156068479106,3.962517108871853,2.0909001620886356e-4
