dataset_id,area,country,archipelago,location,site,replicate,zone,latitude,longitude,depth,year,nyear,biom,herb,plank,pisc,prod,exP,egP,exN,egN,Ic,turn,egNP,exNP,outN,outP,outNP,coral_cover
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,forereef,-17.53336667,-149.9188167,10,2012,13,24246.46976210783,78.83172065133928,1.151074563709849,4.592147152461148,2.932434370365119,0.37109182439299576,2.1977725092518576,6.209197174554307,11.48743129921505,133.17920885084843,1.2094273513366887e-4,5.226851846975499,16.732239209825888,17.69662847376936,2.5688643336448536,6.888891811838252,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,forereef,-17.53336667,-149.9188167,10,2013,13,12166.526385869221,51.220428413173714,0.29060267868450645,2.665954623023446,1.5164357105446422,0.22877382642548305,1.1596219344400516,3.578989567520202,6.326571743333554,74.94801899789056,1.2463998864177883e-4,5.45571927835987,15.644226542173792,9.905561310853756,1.3883957608655346,7.1345372768054025,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,forereef,-17.53336667,-149.9188167,10,2014,13,7451.86202688468,33.14491817598291,0.41225019488550313,1.0569943491664977,1.587658074433117,0.10216675118667505,0.8292804229401506,2.2630073556968693,4.40758906092336,51.90758596747722,2.130552160929974e-4,5.314956122196384,22.15013523883119,6.67059641662023,0.93144717412682565,7.1615402375056885,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,forereef,-17.53336667,-149.9188167,10,2015,13,14847.717488826784,28.701386191820816,0.5520735191287666,5.119610766326898,2.115808053825072,0.20564500135759814,1.4625719393180365,4.178980079100725,7.577126777247456,82.37094969129423,1.4250055979427554e-4,5.180686551924752,20.321330698594785,11.756106856348183,1.6682169406756346,7.047109143722586,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,forereef,-17.53336667,-149.9188167,10,2016,13,18217.55938748608,45.6816745314721,0.5109545649762355,4.130016016076829,2.536759192835898,0.2479184829845328,1.724449981011061,4.870503558928319,9.172065970253797,101.45780811343352,1.392480265264532e-4,5.318835612080862,19.64558471113338,14.042569529182117,1.9723684639955938,7.119648171992618,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2004,13,5233.115696305643,45.293938477145836,0.051462849068394934,0.04331982649663872,1.5693125247908761,0.08253245616077719,0.7916730567588295,2.1395605476803308,4.304534947234025,54.18983830250169,2.998811063739225e-4,5.437263413835407,25.923868587072754,6.444095494914356,0.8742055129196067,7.371373664063092,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2005,13,2603.689352241019,25.255380431175105,0,0,0.5857744936303222,0.05060635217100693,0.37669177007252963,1.1177313041304076,2.1011753785090543,27.284845218332492,2.249786416056665e-4,5.577969962296989,22.086778757603696,3.218906682639462,0.4272981222435366,7.533163651032524,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2006,13,13430.106970348937,30.92912418821059,2.8522009180868597,0,2.3269734747477715,0.3298131676923441,1.711038313873622,4.911577424295958,8.965855878652096,99.9290247319591,1.7326544605231187e-4,5.240008833206243,14.891999184452118,13.877433302948054,2.040851481565966,6.799825184878107,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2007,13,7250.682532792842,43.853003760455564,0,0.23070761018404506,1.8504946494603163,0.16908668502920549,1.0308041358278008,2.8205662014520323,5.374725187682514,64.5360038032802,2.552166145864252e-4,5.214109063858451,16.68118457088948,8.195291389134546,1.1998908208570063,6.83003090504615,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2008,13,6908.283376259991,66.07818935675736,0.3716531359597961,0.34377000568568933,2.658684979546778,0.111876768936927,1.1534078158233956,3.202491788072246,6.293003761535603,78.6650710016907,3.8485464980826217e-4,5.45600929281301,28.62517230791427,9.495495549607849,1.2652845847603227,7.504632289032857,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2009,13,1404.7143692680474,15.608783045627867,0.4433885976099323,0.033839765680312536,0.6671665270086542,0.0156875570240121,0.2684698002629087,0.7254873124188593,1.4681688179295198,18.33850574342885,4.7494817566100196e-4,5.468655381319474,46.24603507788975,2.193656130348379,0.28415735728692076,7.7198639207972,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2010,13,2627.779002411217,31.600669605365322,0,0.0674596728140354,1.4751653226819792,0.04564041039737297,0.5823942723563117,1.4462636871543386,3.0573511139992258,38.75368969023369,5.613734341161818e-4,5.249624282240061,31.688227046213953,4.503614801153565,0.6280346827536847,7.170965115185976,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2011,13,2515.4793779614565,24.061372591289565,1.3814276683789741,0,0.7930434048463957,0.032743817730451055,0.37048673757610134,1.099372725251487,2.115216206515402,26.745684959362947,3.152653175352516e-4,5.709289947473268,33.57497083271062,3.214588931766889,0.4032305553065524,7.972086662239737,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2012,13,6607.807672309589,37.93082310622948,0.21359119446394423,0.3342955679292142,1.381162413315089,0.1802657960883814,0.9204188995697359,2.691051334522707,4.898602950234088,58.006266887935105,2.0901976598122434e-4,5.322145115147045,14.928241479616734,7.589654284756795,1.1006846956581173,6.89539367149901,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2013,13,4186.89166129561,34.27825264067764,0.47564441946329433,0,1.0561402000584839,0.07911923950616871,0.5868786482737244,1.6429164776400371,3.2490175649439563,40.55387006510591,2.5224923057399275e-4,5.536097751214475,20.765069127237293,4.891934042583993,0.6659978877798931,7.345269605720938,NA
Moorea_MPA,Pacific,France,Society Islands,Moorea,Taotaha,1,lagoon,-17.52985,-149.9107833,1,2014,13,9101.76739838988,103.78799706363658,0.37096557071216746,1.297998619018032,5.429802656330834,0.14054662614478516,1.9622031093037169,4.637011596409299,10.407160278180791,126.4318438318314,5.965657458233195e-4,5.303813977684373,32.99269234419364,15.044171874590091,2.102749735448502,7.154523251613333,NA
